zinc_id,smiles,Predictive Results
ZINC000098052700,CN1CCN(C(=O)CN[C@@H]2C[C@H]2c2ccc(OCc3ccccc3)cc2)CC1,7.013489621484833
ZINC000016052149,N#Cc1ccc2c(-c3cc4cc(CN5CCC(CN)CC5)ccc4[nH]3)n[nH]c2c1,7.140423451752298
ZINC000022441997,COc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,7.031127970274932
ZINC000013998530,CCn1c(-c2nonc2N)nc2cncc(CNC3CCNCC3)c21,7.117124173473207
ZINC000022441784,COc1ccccc1CN[C@H]1CCCN[C@H]1c1ccccc1,7.12946479038954
ZINC000004212464,O[C@@]1(c2cccc(Cl)c2)C2=NCCCN2c2ccccc21,7.090933230769923
ZINC000000000142,O[C@]1(c2cccc(Cl)c2)C2=NCCCN2c2ccccc21,7.003988763129292
ZINC000000244029,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2,7.14623105160431
ZINC000001996578,Cc1ccc(-c2ccc3c(c2)C=C(C(=O)Nc2ccc(C[N+](C)(C)C4CCOCC4)cc2)CCC3)cc1,7.1274481544275785
ZINC000038942511,CC1(C)[C@H]2CC[C@]1(CS(=O)(=O)N1CCC3(C=Cc4ccccc43)CC1)[C@@](O)(CC(=O)O)C2,7.033520124226804
ZINC000004098486,CN(C)[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N2CCC[C@H]2C(=O)N/C=C\c2ccc(cc2)O[C@@H]1c1ccccc1,7.135613396424164
ZINC000095099083,COc1cc(C[C@@H](OC(=O)[C@H]2c3c(/C=C/C(=O)O[C@@H](Cc4ccc(O)c(O)c4)C(=O)O)ccc(O)c3O[C@@H]2c2ccc(O)c(OC)c2)C(=O)O)ccc1O,7.00741140425411
ZINC000100058855,CC1(C)[C@@H]2CC[C@]1(CS(=O)(=O)N1CCC3(C=Cc4ccccc43)CC1)[C@@](O)(CC(=O)O)C2,7.073238766851665
ZINC000225502265,CC(=O)N1CCC(N[C@@H]2C[C@H](COc3cccc(C)n3)[C@@H](O)[C@H]2O)CC1,7.027545718353015
ZINC000584905237,CCn1c(C(=O)Nc2cccc(COC)c2COc2ccc(OC[C@@H]3CCNC3)cc2)cc2sccc21,7.364262786611498
ZINC000584905186,CN1CCC(Oc2ccc(OCc3ccc(NC(=O)c4cc5sccc5n4C)cc3)cc2)CC1,7.307985114769957
ZINC000584905208,CCOCc1cccc(NC(=O)c2cc3sccc3n2C)c1COc1ccc(OC[C@@H]2CCNC2)cc1,7.163416995190245
ZINC000584905094,CN1CCC(Oc2ccc(OCc3ccccc3NC(=O)c3cc4sccc4n3C)cc2)CC1,7.2637137327739225
ZINC000584905102,Cn1c(C(=O)Nc2ccccc2COc2ccc(OC[C@@H]3CCNC3)cc2)cc2sccc21,7.324518933124564
ZINC000015672026,CC(C)N1CCC[C@@H](O)[C@H](NC(=O)c2ccc(OCc3ccc(F)cc3)cc2)C1,7.005639140582842
ZINC000015672275,N#Cc1cccc(NC(=O)N2CCC[C@@H](O)[C@H](NC(=O)c3ccc(OCc4ccc(F)cc4)cc3)C2)c1,7.069008518699188
ZINC000936070024,CN(C)[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N2CCC[C@H]2C(=O)NC=Cc2ccc(cc2)O[C@@H]1c1ccccc1,7.0300850642075625
ZINC000028707246,O=C(NC1CCN(CCCCc2ccccc2)CC1)c1cccc2ccccc12,7.079612281511549
ZINC000514288818,CN(CCc1ccccc1)C[C@@H]1OC[C@H](NC2CCCC2)[C@H]1O,7.112289609291706
ZINC000514289481,CC(=O)N1CCC(N2CC3(CN(C(=O)Cc4ccccc4)C[C@@H]4C[C@@H](O)CN43)C2)CC1,7.054946204972712
ZINC000514290272,O=C(Cc1ccccc1)N1C[C@@H]2C[C@@H](O)CN2C2(CN(CCc3ccccc3)C2)C1,7.010049024878309
ZINC000058548709,Cn1c(=O)n(C2CCN(CCCn3cncc(-c4ccc(Cl)c(CNC(=O)c5ccc(F)cc5)c4)c3=O)CC2)c2cc(Cl)ccc21,7.008619128008919
ZINC000095554123,Nc1nccc2scc(-c3ccc4c(c3)CCN4C(=O)Cc3ccccc3)c12,7.033834789141497
ZINC000012604806,Cc1cccc(-c2ccc3c(c2)C(=O)N2CC[C@H](NC(=O)c4cccnc4)C[C@H]2C(=O)N3)c1C,7.023801028211819
ZINC000015671884,COc1cccc(CN2CCC[C@@H](O)[C@H](NC(=O)c3ccc(OCc4ccccc4)cc3)C2)c1,7.08053791666117
ZINC000003840463,O=C(N[C@H]1CCN2C(=O)c3cc(-c4ccccc4F)ccc3NC(=O)[C@@H]2C1)c1cccnc1,7.009064967311181
ZINC000022449627,COc1ccc(-c2ccc(C#N)cc2F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,7.675783549439051
ZINC000058638406,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(Br)c1=O,7.077215366932881
ZINC000027938740,O=C(NC1CCN(CCc2ccccc2)CC1)c1cccc2ccccc12,7.0097266781270795
ZINC000003972273,CN(C)C[C@@H]1CCc2cc(NC(=O)c3ccc(-c4ccc(F)cc4)cc3)ccc2C1,7.021766000991742
